INFO   | jvm 1    | 2017/08/21 21:57:25 | 2017-08-21 21:57:25.832:INFO:oejd.ContextDeployer:Deploy /Users/michaelmurray/Documents/AlmostRealism/latest/flowtree/apache-archiva-2.2.3/contexts/archiva.xml -> o.e.j.w.WebAppContext{/,null},/Users/michaelmurray/Documents/AlmostRealism/latest/flowtree/apache-archiva-2.2.3/apps/archiva
INFO   | jvm 1    | 2017/08/21 21:57:27 | 2017-08-21 21:57:27.289:INFO:oejpw.PlusConfiguration:No Transaction manager found - if your webapp requires one, please configure one.
INFO   | jvm 1    | 2017/08/21 21:57:27 | 2017-08-21 21:57:27.328:INFO:oejw.StandardDescriptorProcessor:NO JSP Support for /, did not find org.apache.jasper.servlet.JspServlet
INFO   | jvm 1    | 2017/08/21 21:57:32 | 2017-08-21 21:57:32.805:INFO:/:Initializing Spring root WebApplicationContext
INFO   | jvm 1    | 2017/08/21 21:58:41 | Aug 21, 2017 9:58:41 PM org.apache.tomcat.jdbc.pool.ConnectionPool init
INFO   | jvm 1    | 2017/08/21 21:58:41 | WARNING: maxIdle is larger than maxActive, setting maxIdle to: 20
INFO   | jvm 1    | 2017/08/21 21:59:06 | [INFO] Unable to read properties file, will force index regeneration
INFO   | jvm 1    | 2017/08/21 21:59:06 | 2017-08-21 21:59:06.867:INFO:oejs.AbstractConnector:Started SelectChannelConnector@0.0.0.0:8080
INFO   | jvm 1    | 2017/08/21 21:59:07 | [INFO] Unable to read properties file, will force index regeneration
STATUS | wrapper  | 2017/08/21 22:17:40 | INT trapped.  Shutting down.
INFO   | jvm 1    | 2017/08/21 22:17:41 | 2017-08-21 22:17:41.021:INFO:oejs.Server:Graceful shutdown SelectChannelConnector@0.0.0.0:8080
INFO   | jvm 1    | 2017/08/21 22:17:41 | 2017-08-21 22:17:41.022:INFO:oejs.Server:Graceful shutdown o.e.j.w.WebAppContext{/,file:/Users/michaelmurray/Documents/AlmostRealism/latest/flowtree/apache-archiva-2.2.3/apps/archiva/},/Users/michaelmurray/Documents/AlmostRealism/latest/flowtree/apache-archiva-2.2.3/apps/archiva
INFO   | jvm 1    | 2017/08/21 22:17:42 | 2017-08-21 22:17:42.088:INFO:/:Closing Spring root WebApplicationContext
